BCAC_FM_REGION	CHROM	FM_REGION_START	FM_REGION_END
BCAC_FM_47	chr10	21532942	22909392
BCAC_FM_135	chr10	8588113	9588113
BCAC_FM_48	chr10	63758684	65063702
BCAC_FM_49	chr10	80341148	81387721
BCAC_FM_50	chr10	114273927	115286154
BCAC_FM_51	chr10	122593901	123849324
BCAC_FM_89	chr11	303017	1303017
BCAC_FM_52	chr11	1398664	2442575
BCAC_FM_53	chr11	65043827	66083066
BCAC_FM_54	chr11	68831418	69879161
BCAC_FM_165	chr11	107845515	108857137
BCAC_FM_55	chr11	128952507	129961171
BCAC_FM_57	chr12	27639846	29034415
BCAC_FM_56	chr12	13913931	14913931
BCAC_FM_58	chr12	95527759	96527759
BCAC_FM_59	chr12	115336522	116336522
BCAC_FM_138	chr12	120332146	121332146
BCAC_FM_60	chr13	32468810	33472626
BCAC_FM_81	chr13	73464519	74464519
BCAC_FM_61	chr14	36632769	37635752
BCAC_FM_62	chr14	68117194	69534682
BCAC_FM_63	chr14	91341069	92368623
BCAC_FM_64	chr14	92604072	93616351
BCAC_FM_140	chr15	91009215	92009215
BCAC_FM_166	chr16	3606788	4606788
BCAC_FM_65	chr16	52038825	53038825
BCAC_FM_66	chr16	53300954	54355291
BCAC_FM_90	chr16	54182064	55182064
BCAC_FM_67	chr16	80148327	81150805
BCAC_FM_141	chr16	86585237	87585237
BCAC_FM_68	chr17	28711667	29730520
BCAC_FM_142	chr17	40336389	41336389
BCAC_FM_143	chr17	43752468	44752468
BCAC_FM_69	chr17	52556471	53719837
BCAC_FM_70	chr17	77281387	78281725
BCAC_FM_71	chr18	23832476	25075396
BCAC_FM_144	chr18	29477689	30477689
BCAC_FM_167	chr18	24901204	25901204
BCAC_FM_72	chr18	41899590	42899590
BCAC_FM_73	chr19	16795023	17894124
BCAC_FM_74	chr19	18050434	19071141
BCAC_FM_82	chr19	19048246	20048246
BCAC_FM_146	chr19	12658277	14454571
BCAC_FM_169	chr19	29777729	30777729
BCAC_FM_147	chr19	45683031	46683031
BCAC_FM_75	chr19	43783447	44786513
BCAC_FM_3	chr1	120723447	121780613
BCAC_FM_99	chr1	117730221	118730221
BCAC_FM_2	chr1	113948389	114948389
BCAC_FM_98	chr1	87656923	88656923
BCAC_FM_96	chr1	46100917	47100917
BCAC_FM_84	chr1	18307339	19307339
BCAC_FM_1	chr1	10043820	11066215
BCAC_FM_4	chr1	145144984	146144984
BCAC_FM_5	chr1	149406413	150420734
BCAC_FM_101	chr1	154648781	155648781
BCAC_FM_102	chr1	200937832	201937832
BCAC_FM_103	chr1	203301249	204301249
BCAC_FM_6	chr1	201687176	202687176
BCAC_FM_7	chr1	204018842	205018842
BCAC_FM_104	chr1	216720574	217720574
BCAC_FM_8	chr1	241523898	242534263
BCAC_FM_92	chr20	5448227	6448227
BCAC_FM_76	chr21	16073983	17073983
BCAC_FM_77	chr22	28000000	30121477
BCAC_FM_148	chr22	38068833	39859355
BCAC_FM_78	chr22	40376234	41527870
BCAC_FM_150	chr22	41538786	42538786
BCAC_FM_151	chr22	45783297	46783297
BCAC_FM_10	chr2	24687599	25687599
BCAC_FM_79	chr2	28670676	29670676
BCAC_FM_9	chr2	18815791	19820803
BCAC_FM_11	chr2	120745122	121746568
